Dia;Mes;Ano;Cota;Precip1;Precip2;Precip3
22;12;2001;281;63.90693665;47.9469986;54.39317703
23;12;2001;282;5.007633209;0;0
24;12;2001;453;8.918355942;0.943661571;22.29153252
25;12;2001;424;13.63984013;3.10060215;12.84987068
26;12;2001;281;16.88287926;9.16699791;38.36538315
27;12;2001;258;3.195346832;0.539235175;1.151422024
28;12;2001;298.5;2.718429327;17.07578278;3.868778229
29;12;2001;234;15.4044342;5.482224464;15.84356785
30;12;2001;291.5;10.68295097;12.89670849;7.092760086
31;12;2001;303;0.286150485;1.303151727;0
1;1;2002;241.5;0;0;0
2;1;2002;237;0;0;0
3;1;2002;204.5;8.952350616;4.652571678;12.2186842
4;1;2002;192;1.822634101;0.720040798;0
5;1;2002;136;1.447385907;0;0
6;1;2002;193;0;0;0
7;1;2002;276.5;1.983454704;21.98893929;2.249210835
8;1;2002;269;24.28391838;40.43305969;57.38526535
9;1;2002;287;4.985440254;7.698897839;6.565263748
10;1;2002;334;76.76506042;31.68179321;50.33368301
11;1;2002;547;16.72534943;47.74424744;51.9750061
12;1;2002;679.5;14.04500389;4.541795731;7.416316509
13;1;2002;674.5;49.42554855;101.0826492;62.6739502
14;1;2002;607.5;2.305095911;18.16718292;2.857105494
15;1;2002;549.5;1.661813498;0;1.823684216
16;1;2002;445;54.67901993;20.49346924;16.96026611
17;1;2002;439.5;13.99139786;14.40081596;13.61684227
18;1;2002;435;0;0;0
19;1;2002;332;0;0;0
20;1;2002;297;0;0;0
21;1;2002;282;0;0;0
22;1;2002;256;13.02647209;6.92346859;12.27947521
23;1;2002;269;2.305095911;4.264857292;14.4071064
24;1;2002;243;2.305095911;0;1.155000091
25;1;2002;228;0;0;0
26;1;2002;220.5;1.447385907;0;0
27;1;2002;199;0.321641326;0;0
28;1;2002;277;2.144275427;20.99195862;3.95131588
29;1;2002;248.5;27.12508392;1.550857186;4.620000362
30;1;2002;231;22.72931862;0;15.13657951
31;1;2002;237;27.8219738;6.701918602;14.95421124
1;2;2002;205;2.680344343;0;0
2;2;2002;223;0;0;0
3;2;2002;243;2.426119328;8.506858826;2.441250086
4;2;2002;259;10.01752472;10.38337231;5.866287708
5;2;2002;301.5;8.687072754;7.756254196;12.89854527
6;2;2002;457;6.182691574;10.94632626;6.230652809
7;2;2002;488;4.578321934;6.004841805;7.651679039
8;2;2002;492;11.70015621;4.222154617;21.606884
9;2;2002;496;12.13059616;14.2614994;17.41667938
10;2;2002;487;2.739166975;7.662428856;21.606884
11;2;2002;469;0;4.222154617;10.05649281
12;2;2002;581.5;5.556595802;0;0.910914183
13;2;2002;541;15.14368153;68.1486969;60.70331955
14;2;2002;481;3.560917377;1.563760877;1.093096972
15;2;2002;359;0;0;0
16;2;2002;344;0;1.219733477;0
17;2;2002;370;9.234905243;6.755446434;6.230652809
18;2;2002;350.5;11.85667992;11.25907898;17.78104401
19;2;2002;402.5;4.343536377;1.094632626;2.696306229
20;2;2002;351.5;59.98776245;22.79963303;35.16128922
21;2;2002;410;11.97407341;4.222154617;18.72839355
22;2;2002;404;4.617453098;10.19572067;10.34798527
23;2;2002;628;19.6437397;9.257464409;12.78923512
24;2;2002;556;0;0.969531775;2.477686644
25;2;2002;508;84.75765991;66.55366516;73.12819672
26;2;2002;464;39.87444687;17.95197678;21.09677315
27;2;2002;544;0;2.689668655;0.47367537
28;2;2002;585;16.16108513;127.8530884;24.23031616
1;3;2002;650;2.465250254;0.562953949;11.36820984
2;3;2002;660.5;42.02664948;28.67937279;33.81313705
3;3;2002;606;35.35857773;20.46817589;33.88645935
4;3;2002;403;3.210472584;0;0.96308881
5;3;2002;319;0;0;0
6;3;2002;283;0.607386708;0;0
7;3;2002;290;1.735390425;0;0
8;3;2002;297;3.731089354;12.20509815;10.66531754
9;3;2002;317;14.27358723;5.723508835;19.33311462
10;3;2002;322;2.646470547;0;0
11;3;2002;332;1.214773417;2.31214571;1.676487923
12;3;2002;273;38.6124382;45.52273941;25.93206024
13;3;2002;208;0;3.373458624;0.499379396
14;3;2002;251;0.303693354;0;0
15;3;2002;214;3.861243725;2.729090214;2.31854701
16;3;2002;219;1.952314377;0;4.316064358
17;3;2002;238.5;3.774474144;0;0.642059207
18;3;2002;228;0;0.947600722;1.676487923
19;3;2002;208;0;0;0
20;3;2002;238;1.778775215;3.449266434;5.814203262
21;3;2002;200;11.54034615;12.31880951;6.812962055
22;3;2002;268.5;2.212622881;0;0
23;3;2002;347.5;0;2.122625589;2.675246716
24;3;2002;320;12.49481201;18.61087608;23.1854744
25;3;2002;367.5;0;19.52057457;12.2704649
26;3;2002;364;1.561851382;0;0
27;3;2002;402;16.13913155;39.91294098;72.05331421
28;3;2002;387;7.462179184;2.842802048;3.031946182
29;3;2002;348;21.47545815;20.54398346;17.90631866
30;3;2002;317;11.23665237;3.97992301;0.998758793
31;3;2002;286;0.73754096;0;0.428039491
1;4;2002;286;0;0;0
2;4;2002;250;2.950163841;1.895201445;0
3;4;2002;255;4.950000286;0;4.950000286
4;4;2002;276;0;0;0
5;4;2002;255;0;5.123600006;0
6;4;2002;237;0;0;0
7;4;2002;227.5;0;0;0
8;4;2002;246;0;0;0
9;4;2002;253;0;0;0
10;4;2002;245;2.159999847;9.206468582;6.479999542
11;4;2002;231;0;0;0
12;4;2002;200;0;0;0
13;4;2002;196;8.279998779;0;6.479999542
14;4;2002;150.5;18.63000107;11.44804382;12.68999958
15;4;2002;137;22.5;11.36798668;31.49999809
16;4;2002;164;0;0;22.5
17;4;2002;152;0;6.564612389;0
18;4;2002;160;23.57999802;11.36798668;29.06999969
19;4;2002;148;0;7.205061913;0
20;4;2002;161.5;25.55999947;16.09130669;11.88000011
21;4;2002;136;8.909999847;25.7781105;8.550000191
22;4;2002;216;6.38999939;0;0
23;4;2002;156;0;6.564612389;0
24;4;2002;129;0;0;0
25;4;2002;125;0;6.004218578;0
26;4;2002;131;0;0;0
27;4;2002;120;0;0;0
28;4;2002;205;0;0;0
29;4;2002;195;0;27.77952003;0
30;4;2002;197;1.9799999;10.96770668;0
1;5;2002;194;7.019999504;0;0
2;5;2002;209.5;3.509999752;6.72472477;0
3;5;2002;156;0;0;0
4;5;2002;133;0;0;0.688425541
5;5;2002;84;0;0;0
6;5;2002;73;0;0;0
7;5;2002;153;0;1.477488995;0
8;5;2002;103.5;0;0;21.60344887
9;5;2002;122;0;6.965305328;0
10;5;2002;125.5;10.61835575;28.42407417;42.38734436
11;5;2002;133.5;12.3043766;6.754235744;5.343493462
12;5;2002;161;0;0;0
13;5;2002;140;8.07138443;2.708729982;0
14;5;2002;134.5;0;0;0
15;5;2002;106.5;0;0;0
16;5;2002;137;0;0;0
17;5;2002;108;0;0;0
18;5;2002;129.5;0;0;0
19;5;2002;133.5;0.035872821;0;0
20;5;2002;132.5;0;0;0
21;5;2002;150.5;0.932693303;0;0
22;5;2002;139;14.16976452;25.75052452;23.34090424
23;5;2002;115;42.11469269;10.69420624;2.55700922
24;5;2002;105;0;0;0
25;5;2002;106;0;0;0
26;5;2002;102;0;0;0
27;5;2002;90;0;0;0
28;5;2002;85;0;0;0
29;5;2002;80;0;0;0
30;5;2002;80;0;0;0
31;5;2002;98.5;0;0;0
1;6;2002;112;0;0;0
2;6;2002;104.5;0;0.738744497;0
3;6;2002;113.5;0;0;0
4;6;2002;107;0;0;0
5;6;2002;100.5;0;0;0
6;6;2002;95;0;0.059693761;0
7;6;2002;94;0;0.164157838;0
8;6;2002;95;0;0;0
9;6;2002;94.5;0;0.01492344;0
10;6;2002;61;0;0.029846881;0
11;6;2002;93;0;0;0
12;6;2002;93;0;0;0
13;6;2002;93;0;0.044770323;0
14;6;2002;93;0;0;0
15;6;2002;93;0;0;0
16;6;2002;104.5;0;0;0
17;6;2002;87;0;0;0
18;6;2002;91;0;0;0
19;6;2002;91;0;0;0
20;6;2002;91;0;0;0
21;6;2002;90.5;0;0;0
22;6;2002;90;0;0;0
23;6;2002;89;0;0;0
24;6;2002;89.5;0;0.029846881;0
25;6;2002;90;0;0;0
26;6;2002;103;0;0;0
27;6;2002;108.5;0;0;0
28;6;2002;104;0;0;0
29;6;2002;95;0;0;0
30;6;2002;92.5;0;0;0
1;7;2002;88;0;0;0
2;7;2002;87.5;0;0;0
3;7;2002;88;0;0;0
4;7;2002;89;0;0.505571842;0
5;7;2002;88;0;0.331781536;0
6;7;2002;106.5;0;0.505571842;0
7;7;2002;104;0;0;0
8;7;2002;108.5;0;0;0
9;7;2002;133;0;0;0
10;7;2002;100.5;0;0;0
11;7;2002;102;5.414551258;3.096627712;0
12;7;2002;110;0;0;0
13;7;2002;109;0;0;0
14;7;2002;109;0;0;0
15;7;2002;109;0;0;0
16;7;2002;109.5;0;0;0
17;7;2002;111;0;0.505571842;0
18;7;2002;110.5;0;0;0
19;7;2002;110;0;0;0
20;7;2002;111;0;0.884750783;0
21;7;2002;110.5;0.197405517;1.737903237;0
22;7;2002;109.5;0;0;0
23;7;2002;110.5;0;2.022287369;0
24;7;2002;113;0;0;0
25;7;2002;113.5;0;0.110593848;3.089858294
26;7;2002;110.5;0;0;0
27;7;2002;110;0;1.579912066;0
28;7;2002;111.5;0;0.505571842;0
29;7;2002;111;0;2.843841791;1.898795605
30;7;2002;111;3.102086544;0;5.10948658
31;7;2002;111.5;0;0;0.25892666
1;8;2002;111.5;0;0;0
2;8;2002;111;1.438240051;0;0
3;8;2002;107;1.475230455;0;0.807596207
4;8;2002;110;0;0;0
5;8;2002;110;0;0;0
6;8;2002;110;0;0.072642252;0
7;8;2002;110;0;0.014528451;0
8;8;2002;110;0;0;0
9;8;2002;109.5;0;0;0
10;8;2002;107.5;0;0.900763929;0
11;8;2002;99;0;0.523024201;0
12;8;2002;97.5;0;0.116227604;0
13;8;2002;107.5;0;1.24944675;0
14;8;2002;107.5;0;0.072642252;0
15;8;2002;107.5;0;0;0
16;8;2002;107.5;0;0;0
17;8;2002;107;0;0;0
18;8;2002;107;0;0.653780341;0
19;8;2002;106.5;0;0.014528451;0
20;8;2002;106.5;0;0;0
21;8;2002;106.5;0;0;0
22;8;2002;106;0;0;0
23;8;2002;106;0;0;0
24;8;2002;106;0;0;0
25;8;2002;106;0;0.508495808;0
26;8;2002;106;0;0.029056901;0
27;8;2002;106;0;0;0
28;8;2002;106;0;0.857178569;0
29;8;2002;106;0;0.857178569;0
30;8;2002;110;0;0.043585353;0
31;8;2002;108;0.088513829;4.242307663;0
1;9;2002;108;5.900921822;11.33219242;6.489612579
2;9;2002;107;1.475230455;0.072642252;0.05768545
3;9;2002;107.5;0;0;0.461109698
4;9;2002;155;0;0;0
5;9;2002;165;0;0;0
6;9;2002;165;0;0.038639825;0
7;9;2002;164.5;0;0;0
8;9;2002;165;0.758051515;0;0
9;9;2002;124;0.598461747;0;7.048390388
10;9;2002;147.5;0;0;0
11;9;2002;165;0.558564305;0;0
12;9;2002;164;1.31661582;7.148367405;2.107930183
13;9;2002;164;0;0;0
14;9;2002;164.5;0;0.270478755;0
15;9;2002;165;0;0;0
16;9;2002;165;3.032206059;0;0.494046092
17;9;2002;154.5;0.598461747;1.816071749;0
18;9;2002;158.5;0.398974478;0;0
19;9;2002;157.5;0;0;0
20;9;2002;135;0;0;0
21;9;2002;147;2.274154663;0;0
22;9;2002;157;0;0.927355766;12.5487709
23;9;2002;155;10.85210705;6.530130386;3.721813917
24;9;2002;143.5;0;0;0
25;9;2002;157.5;0;0.386398226;0
26;9;2002;157.5;46.08155441;54.21166992;42.02685547
27;9;2002;157;0;0;0
28;9;2002;120;0;1.313754082;0
29;9;2002;152;0;1.313754082;0
30;9;2002;154;0;0;0
1;10;2002;154;0;0;0
2;10;2002;154.5;0;0;0
3;10;2002;154.5;0;0;0
4;10;2002;160.5;0;0;0
5;10;2002;158.5;6.273706436;14.77263451;15.60740376
6;10;2002;158;0.459051639;0;0.019412193
7;10;2002;158;0;0;0
8;10;2002;157;0;16.1747818;6.871916771
9;10;2002;156.5;0.038254306;0;0
10;10;2002;156.5;1.185883522;0.776189268;0.834724307
11;10;2002;157.5;0.592941761;0;0.737663388
12;10;2002;159.5;7.096173286;0;0
13;10;2002;157.5;4.15059185;17.72716141;21.56694794
14;10;2002;158;0;0.776189268;0
15;10;2002;156;6.158942699;5.35820961;16.15094566
16;10;2002;160.5;0;0;0
17;10;2002;161;0;0;0
18;10;2002;159.5;8.53071022;15.07309532;14.30678558
19;10;2002;160.5;12.24137688;0.225345284;0.698838949
